0   HLTriggerFirstPath, FIRED = 0
138   HLT_Mu17_TkMu8_DZ_v6, FIRED = 0
139   HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_v6, FIRED = 0
140   HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v7, FIRED = 0
141   HLT_Mu17_TrkIsoVVL_TkMu8_TrkIsoVVL_v5, FIRED = 0
142   HLT_Mu17_TrkIsoVVL_TkMu8_TrkIsoVVL_DZ_v6, FIRED = 0
143   HLT_Mu25_TkMu0_dEta18_Onia_v6, FIRED = 0
144   HLT_Mu27_TkMu8_v5, FIRED = 0
145   HLT_Mu30_TkMu11_v5, FIRED = 0
146   HLT_Mu30_eta2p1_PFJet150_PFJet50_v5, FIRED = 0
147   HLT_Mu40_TkMu11_v5, FIRED = 0
148   HLT_Mu40_eta2p1_PFJet200_PFJet50_v7, FIRED = 0
149   HLT_Mu20_v4, FIRED = 0
150   HLT_TkMu17_v1, FIRED = 0
151   HLT_TkMu17_TrkIsoVVL_TkMu8_TrkIsoVVL_v3, FIRED = 0
152   HLT_TkMu17_TrkIsoVVL_TkMu8_TrkIsoVVL_DZ_v3, FIRED = 0
153   HLT_TkMu20_v4, FIRED = 0
154   HLT_Mu24_eta2p1_v5, FIRED = 0
155   HLT_TkMu24_eta2p1_v5, FIRED = 0
156   HLT_Mu27_v5, FIRED = 0
157   HLT_TkMu27_v5, FIRED = 0
158   HLT_Mu45_eta2p1_v5, FIRED = 0
159   HLT_Mu50_v5, FIRED = 0
160   HLT_TkMu50_v3, FIRED = 0
161   HLT_Mu38NoFiltersNoVtx_Photon38_CaloIdL_v7, FIRED = 0
162   HLT_Mu42NoFiltersNoVtx_Photon42_CaloIdL_v7, FIRED = 0
163   HLT_Mu28NoFiltersNoVtxDisplaced_Photon28_CaloIdL_v7, FIRED = 0
164   HLT_Mu33NoFiltersNoVtxDisplaced_Photon33_CaloIdL_v7, FIRED = 0
165   HLT_Mu23NoFiltersNoVtx_Photon23_CaloIdL_v7, FIRED = 0
166   HLT_DoubleMu18NoFiltersNoVtx_v5, FIRED = 0
167   HLT_Mu28NoFiltersNoVtx_DisplacedJet40_Loose_v5, FIRED = 0
168   HLT_Mu38NoFiltersNoVtxDisplaced_DisplacedJet60_Tight_v5, FIRED = 0
169   HLT_Mu38NoFiltersNoVtxDisplaced_DisplacedJet60_Loose_v5, FIRED = 0
170   HLT_Mu38NoFiltersNoVtx_DisplacedJet60_Loose_v5, FIRED = 0
171   HLT_Mu28NoFiltersNoVtx_CentralCaloJet40_v5, FIRED = 0
172   HLT_PFHT300_PFMET110_v6, FIRED = 0
173   HLT_PFHT550_4JetPt50_v6, FIRED = 0
174   HLT_PFHT650_4JetPt50_v6, FIRED = 0
175   HLT_PFHT750_4JetPt70_v2, FIRED = 0
176   HLT_PFHT750_4JetPt80_v2, FIRED = 0
177   HLT_PFHT800_4JetPt50_v2, FIRED = 0
178   HLT_PFHT850_4JetPt50_v2, FIRED = 0
179   HLT_PFJet15_NoCaloMatched_v7, FIRED = 0
180   HLT_PFJet25_NoCaloMatched_v5, FIRED = 0
181   HLT_DiPFJet15_NoCaloMatched_v5, FIRED = 0
182   HLT_DiPFJet25_NoCaloMatched_v5, FIRED = 0
183   HLT_DiPFJet15_FBEta3_NoCaloMatched_v6, FIRED = 0
184   HLT_DiPFJet25_FBEta3_NoCaloMatched_v6, FIRED = 0
185   HLT_DiPFJetAve15_HFJEC_v6, FIRED = 0
186   HLT_DiPFJetAve25_HFJEC_v6, FIRED = 0
187   HLT_DiPFJetAve35_HFJEC_v6, FIRED = 0
188   HLT_AK8PFJet40_v5, FIRED = 0
189   HLT_AK8PFJet60_v4, FIRED = 0
190   HLT_AK8PFJet80_v4, FIRED = 0
191   HLT_AK8PFJet140_v4, FIRED = 0
192   HLT_AK8PFJet200_v4, FIRED = 0
193   HLT_AK8PFJet260_v5, FIRED = 0
194   HLT_AK8PFJet320_v5, FIRED = 0
195   HLT_AK8PFJet400_v5, FIRED = 0
196   HLT_AK8PFJet450_v5, FIRED = 0
197   HLT_AK8PFJet500_v5, FIRED = 0
198   HLT_PFJet40_v9, FIRED = 0
199   HLT_PFJet60_v9, FIRED = 0
200   HLT_PFJet80_v8, FIRED = 0
201   HLT_PFJet140_v8, FIRED = 0
202   HLT_PFJet200_v8, FIRED = 0
203   HLT_PFJet260_v9, FIRED = 0
204   HLT_PFJet320_v9, FIRED = 0
205   HLT_PFJet400_v9, FIRED = 0
206   HLT_PFJet450_v9, FIRED = 0
207   HLT_PFJet500_v9, FIRED = 0
208   HLT_DiPFJetAve40_v8, FIRED = 0
209   HLT_DiPFJetAve60_v8, FIRED = 0
210   HLT_DiPFJetAve80_v7, FIRED = 0
211   HLT_DiPFJetAve140_v7, FIRED = 0
212   HLT_DiPFJetAve200_v7, FIRED = 0
213   HLT_DiPFJetAve260_v8, FIRED = 0
214   HLT_DiPFJetAve320_v8, FIRED = 0
215   HLT_DiPFJetAve400_v8, FIRED = 0
216   HLT_DiPFJetAve500_v8, FIRED = 0
217   HLT_DiPFJetAve60_HFJEC_v8, FIRED = 0
218   HLT_DiPFJetAve80_HFJEC_v8, FIRED = 0
219   HLT_DiPFJetAve100_HFJEC_v8, FIRED = 0
220   HLT_DiPFJetAve160_HFJEC_v8, FIRED = 0
221   HLT_DiPFJetAve220_HFJEC_v9, FIRED = 0
222   HLT_DiPFJetAve300_HFJEC_v9, FIRED = 0
223   HLT_DiPFJet40_DEta3p5_MJJ600_PFMETNoMu140_v6, FIRED = 0
224   HLT_DiPFJet40_DEta3p5_MJJ600_PFMETNoMu80_v5, FIRED = 0
225   HLT_DiCentralPFJet170_v5, FIRED = 0
226   HLT_SingleCentralPFJet170_CFMax0p1_v5, FIRED = 0
227   HLT_DiCentralPFJet170_CFMax0p1_v5, FIRED = 0
228   HLT_DiCentralPFJet330_CFMax0p5_v5, FIRED = 0
229   HLT_DiCentralPFJet430_v5, FIRED = 0
230   HLT_DiJetVBF_PassThrough_v1, FIRED = 0
231   HLT_DiJetVBFMu_PassThrough_v1, FIRED = 0
232   HLT_PFHT125_v5, FIRED = 0
233   HLT_PFHT200_v6, FIRED = 0
234   HLT_PFHT250_v6, FIRED = 0
235   HLT_PFHT300_v7, FIRED = 0
236   HLT_PFHT350_v8, FIRED = 0
237   HLT_PFHT400_v7, FIRED = 0
238   HLT_PFHT475_v7, FIRED = 0
239   HLT_PFHT600_v8, FIRED = 0
240   HLT_PFHT650_v8, FIRED = 0
241   HLT_PFHT900_v6, FIRED = 0
242   HLT_PFHT200_PFAlphaT0p51_v8, FIRED = 0
243   HLT_PFHT200_DiPFJetAve90_PFAlphaT0p63_v8, FIRED = 0
244   HLT_PFHT250_DiPFJetAve90_PFAlphaT0p58_v8, FIRED = 0
245   HLT_PFHT300_DiPFJetAve90_PFAlphaT0p54_v8, FIRED = 0
246   HLT_PFHT350_DiPFJetAve90_PFAlphaT0p53_v8, FIRED = 0
247   HLT_PFHT400_DiPFJetAve90_PFAlphaT0p52_v8, FIRED = 0
